age,birth_year,cause_of_death,death_month,death_year,famous_for,name,nationality
84,1932, Alzheimer's disease,October,2006,Canadian Tony Award-winning actor (Who's Afraid of Virginia Woolf?),Arthur Hill,Canadian
77,1939, cancer of the jaw,October,2006,British clergyman Dean of Westminster Abbey (1986–1996),Michael Mayne,British
69,1947, Parkinson's disease,October,2006,Italian singer and composer,Bruno Lauzi,Italian
89,1927,,October,2006, MHR for Swan (1955–1969),Richard Cleaver,Australian
74,1942, cancer,October,2006,Brazilian composer,Rogério Duprat,Brazilian
77,1939,,October,2006,American congressman from Idaho (1961–1965),Ralph R. Harding,American
91,1925, pneumonia,October,2006,Japanese author,Kojima Nobuo,Japanese
85,1931, heart attack,October,2006,American writer (The Cay),Theodore Taylor,American
91,1925, pneumonia,October,2006,President of Pakistan (1988–1993),Ghulam Ishaq Khan,President
89,1927, heart attack,October,2006,American coach of the Boston Celtics (1950–1966),Red Auerbach,American
60,1956, pulmonary embolism,October,2006,French actress,Tina Aumont,French
64,1952,,October,2006,Hungarian philosopher,György Bence,Hungarian
70,1946, heart attack,October,2006,British co-manager of Wings (1973–1978) Managing Director of RUG (1978–1988) co-founder of Classic FM,Brian Brolly,British
90,1926,,October,2006,German anti-fascist,Peter Gingold,German
84,1932, stroke,October,2006,British scriptwriter (The Quatermass Experiment),Nigel Kneale,British
58,1958, bladder cancer,October,2006,Australian bass player (Rose Tattoo),Ian Rilen,Australian
83,1933,,October,2006,Norwegian actress,Aud Schønemann,Norwegian
90,1926, heart attack,October,2006,South African politician Prime Minister (1978–1984) State President (1984–1989),P. W. Botha,South
82,1934, stroke,November,2006,American actress (Ben Casey),Bettye Ackerman,American
36,1980, overdose,November,2006,American guitarist (Azusa Plane),Jason DiEmilio,American
40,1976, murder by strangulation,November,2006,American actress (Trust Unbelievable Truth) screenwriter director (Waitress),Adrienne Shelly,American
81,1935, pneumonia,November,2006,American writer (Darkness Visible Confessions of Nat Turner Sophie's Choice),William Styron,American
69,1947, drowned,November,2006,Filipino President of DLSU-Manila (1991–1994) President of De La Salle Lipa (1995–2003),Rafael Donato,Filipino
79,1937,,November,2006,Danish cinematographer and film director (Babette's Feast Me and Charly),Henning Kristiansen,Danish
62,1954, heart failure,November,2006,American screenwriter (Kiss of the Spider Woman Mishima) brother of Paul Schrader,Leonard Schrader,American
92,1924,,November,2006,American legislator in the Massachusetts House (1948–1979),Belden Bly,American
96,1920,,November,2006, Minister for Defence (1966–1969),Sir Allen Fairhall,Australian
82,1934, cancer,November,2006,Syrian-born Iranian ambassador to the United Nations (1971–1979),Fereydoun Hoveyda,Syrian-born
81,1935,,November,2006,French musician (L'Amour Est Bleu),Paul Mauriat,French
68,1948, infection after heart surgery,November,2006,Ecuadorian footballer (Peñarol Ecuador) highest scorer in Copa Libertadores,Alberto Spencer,Ecuadorian
89,1927,,November,2006, Regius Professor of Ecclesiastical History at Oxford University (1972–1984),John McManners,British
63,1953, lung cancer,November,2006,Taiwanese Justice Minister (2000–2005),Chen Ding-nan,Taiwanese
87,1929,,November,2006,American football quarterback (Detroit Lions),Chuck DeShane,American
83,1933,,November,2006,British Labour MP (1971–1974),Frank Marsden,British
74,1942, illness,November,2006,Scottish former footballer (Hamilton Academical Rangers),Bobby Shearer,Scottish
85,1931, complications from Alzheimer's disease,November,2006,American Democratic Representative for Texas (1955–1963),J. T. Rutherford,American
84,1932, natural causes,November,2006,American baseball shortstop (New York Giants),Buddy Kerr,American
22,1994, shot,November,2006,American football player (Miami Hurricanes),Bryan Pata,American
87,1929,,November,2006,British chairman of D,Brian Thomson,British
80,1936, lymphoma,November,2006,Indian cricket team captain (1955–1958),Polly Umrigar,Indian
61,1955, cancer,November,2006,American film composer (Conan the Barbarian RoboCop Starship Troopers),Basil Poledouris,American
93,1923, respiratory arrest,November,2006,American 1930s actress (Hell's Angels Svengali),Marian Marsh,American
74,1942, complications following heart surgery,November,2006,British actress (Bless This House),Diana Coupland,British
87,1929, natural causes,November,2006,American Academy Award-winning actor (Shane City Slickers),Jack Palance,American
68,1948, cancer,November,2006,Russian Defense Minister (1997–2001) the only Marshal of the Russian Federation,Igor Sergeyev,Russian
32,1984, metastatic breast cancer,November,2006,Australian actress (Home and Away),Belinda Emmett,Australian
90,1926, cancer,November,2006,Canadian author (Guns of Normandy) member of the Order of Canada,George G. Blackburn,Canadian
93,1923, natural causes,November,2006,"American songwriter (""Moonlight in Vermont"" ""Susquehanna"")",John Blackburn,American
68,1948, cancer,November,2006,American cinematographer for Orson Welles (F for Fake The Other Side of the Wind),Gary Graver,American
77,1939,,November,2006, commander of forces in Rhodesia (1979–1980),Sir John Acland,British
82,1934,,November,2006, winner of Sanremo Music Festival (1953),Flo Sandon's,Italian
77,1939, heart problems,November,2006,American University of Michigan football head coach (1969–1989),Bo Schembechler,American
70,1946, cancer,November,2006,Brazilian politician and lawyer,Ramez Tebet,Brazilian
96,1920,,November,2006,British assistant and private secretary to King George VI and Queen Elizabeth II (1946–1967),Sir Edward Ford,British
77,1939, complications from diabetes,November,2006,American journalist and ambassador to Kenya (1989–1993),Smith Hempstone,American
71,1945, leukemia,November,2006,Argentine journalist director (Ámbito Financiero),Julio Ramos,Argentine
80,1936, esophageal cancer,November,2006,American actor (The Born Losers The Devil's Brigade),Jeremy Slate,American
81,1935, complications from leukemia,November,2006,American film director (MASH Nashville Short Cuts),Robert Altman,American
80,1936,,November,2006,Irish film producer (Never Say Never Again),Kevin McClory,Irish
59,1957,,November,2006,Norwegian entrepreneur,Svein Erik Bakke,Norwegian
76,1940, cancer,November,2006,French actor (Il Postino Cinema Paradiso),Philippe Noiret,French
72,1944, cardiac arrest,November,2006,American jazz bassist (Cannonball Adderley Quintet),Walter Booker,American
81,1935, aortic aneurysm,November,2006,American author (Primal Fear Sharky's Machine),William Diehl,American
93,1923, heart attack,November,2006,Australian actress (Number 96),Thelma Scott,Australian
75,1941,,November,2006,Italian comic book creator (Pepito),Luciano Bottaro,Italian
59,1957, plane crash,November,2006,American Toyota engineer (Prius),David Hermance,American
86,1930,,November,2006,Italian songwriter,Leo Chiosso,Italian
63,1953, complications from diabetes,November,2006,American comic book creator (X-Men Legion of Super-Heroes),Dave Cockrum,American
65,1951, helicopter crash,November,2006,Italian television station owner and separatist politician,Giorgio Panto,Italian
73,1943, natural causes,November,2006,Mexican television presenter (Siempre en Domingo),Raúl Velasco,Mexican
56,1960, brain cancer,November,2006,American author (What You Owe Me),Bebe Moore Campbell,American
69,1947, stomach cancer,November,2006,Japanese television and film director (Ultraman Ultra Seven),Akio Jissoji,Japanese
70,1946, cancer,November,2006,Jamaican film director (The Harder They Come) and author,Perry Henzell,Jamaican
58,1958, metastatic eye cancer,December,2006,French actress (Baisers Volés L'Amour en Fuite Topaz),Claude Jade,French
59,1957, cancer,December,2006,Dutch singer for Shocking Blue (Venus),Mariska Veres,Dutch
29,1987, brain cancer,December,2006,American singer and songwriter (The Velvet Teen),Logan Whitehurst,American
77,1939,,December,2006,British Lord Mayor of London (1979–1980),Sir Peter Gadsden,British
44,1972, apparent suicide,December,2006,American actor (NCIS Return of the Jedi),Michael Gilden,American
70,1946, heart attack,December,2006,Turkmen Prime Minister (1989–1992),Han Ahmedow,Turkmen
44,1972, stroke,December,2006,British musician and lead singer (Mega City Four),Darren Brown,British
69,1947, stroke,December,2006,Uruguayan historian labor leader and politician Deputy (1990–1994),Hugo Cores,Uruguayan
47,1969, heart failure,December,2006,American football player (Miami Dolphins),Andra Franklin,American
92,1924, natural causes,December,2006,British actress (You Rang M'Lord?),Mavis Pugh,British
81,1935, cancer,December,2006,Bulgarian prime minister (1992–1994),Lyuben Berov,Bulgarian
80,1936, heart failure,December,2006,American United Nations ambassador (1981–1985),Jeane Kirkpatrick,American
76,1940,,December,2006, Mayor of Las Vegas (1975–1987),William H. Briare,American
81,1935, natural causes,December,2006,British head of the Secret Intelligence Service (1982–1985),Sir Colin Figures,British
47,1969, car accident,December,2006,Dominican baseball shortstop (1984–1993),José Uribe,Dominican
91,1925, natural causes,December,2006,Greek actress (To Retire),Koula Agagiotou,Greek
87,1929, leukemia,December,2006,"American singer (""Kiss of Fire"") known for her work on Your Hit Parade",Georgia Gibbs,American
93,1923, natural causes,December,2006,British acrobat and comedian (The Benny Hill Show),Johnny Hutch,British
88,1928, natural causes,December,2006,Italian Archbishop of Palermo (1970–1996),Salvatore Pappalardo,Italian
91,1925, complications from heart attack,December,2006,Chilean president (1973–1990),Augusto Pinochet,Chilean
116,1900, natural causes,December,2006,American oldest verified person in the world (2006),Elizabeth Bolden,American
78,1938,,December,2006,American basketball player (Philadelphia Warriors),Paul Arizin,American
71,1945, multiple myeloma,December,2006,American actor (Young Frankenstein Everybody Loves Raymond),Peter Boyle,American
89,1927, complications from heart failure,December,2006,American Governor of Pennsylvania (1967–1971),Raymond P. Shafer,American
45,1971, heart attack,December,2006,American author (Don't Sweat the Small Stuff),Richard Carlson,American
57,1959, throat cancer,December,2006,American actor (The Jeffersons),Michael Jonas Evans,American
84,1932, lung disease,December,2006,British politician leader of Liverpool City Council (1983–1986),John Hamilton,British
63,1953, cancer,December,2006,Dutch singer,Robert Long,Dutch
63,1953, cancer,December,2006,British journalist editor of The Spectator (1995–1999),Frank Johnson,British
67,1949, car accident,December,2006,Swiss Formula One racing driver (1970–1980),Clay Regazzoni,Swiss
86,1930, natural causes,December,2006,American young adult novelist (Belling the Tiger The Noonday Friends),Mary Stolz,American
59,1957, heart attack,December,2006,Dutch baseball player and coach from the Netherlands Antilles,Chicho Jesurun,Dutch
75,1941,,December,2006, headmaster of Westminster School (1970–1986),John Rae,British
93,1923, natural causes,December,2006,American baseball player (Washington Senators),Cecil Travis,American
68,1948, pneumonia,December,2006,Finnish actor,Esko Nikkari,Finnish
71,1945, cancer,December,2006,American baseball player (Los Angeles Dodgers) MVP of the 1959 World Series,Larry Sherry,American
74,1942, myelodysplastic syndrome,December,2006,Japanese comedian Governor of Tokyo (1995–1999),Yukio Aoshima,Japanese
87,1929, pneumonia,December,2006,American biochemist (Harvard University and the Polaroid Corporation),Elkan Blout,American
77,1939, kidney failure associated with colon cancer,December,2006,American dog show judge (Westminster Kennel Club Dog Show),Anne Rogers Clark,American
66,1950, cardiac arrest,December,2006,Turkmen Communist party secretary (1985–1991) president (1990–2006),Saparmurat Niyazov,Turkmen
92,1924, kidney failure,December,2006,British lawyer and track athlete world record holder for mile run (1937–1942),Sydney Wooderson,British
70,1946, lung failure,December,2006,Hungarian writer Kossuth Prize winner,Ervin Lázár,Hungarian
63,1953, idiopathic pulmonary fibrosis,December,2006,"American songwriter (""Burning Love"" ""Goodbye Earl"")",Dennis Linde,American
